"","frequency","ip","country_code","country_name","region_code","region_name","city","zip_code","time_zone","latitude","longitude","metro_code"
"136",717,"103.41.125.32","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"137",1197,"103.41.125.33","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"138",357,"103.41.125.35","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"139",528,"103.41.125.36","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"140",1071,"103.41.125.38","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"141",549,"103.41.125.39","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"142",873,"103.41.125.40","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"143",1464,"103.41.125.41","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"144",900,"103.41.125.42","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"145",1080,"103.41.125.43","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"146",189,"103.41.125.44","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"147",342,"103.41.125.45","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"148",909,"103.41.125.46","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"149",1062,"103.41.125.47","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"150",351,"103.41.125.48","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"151",1272,"103.41.125.49","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"152",708,"103.41.125.50","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"153",357,"103.41.125.51","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"154",366,"103.41.125.52","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"155",5893,"103.41.125.53","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"156",1098,"103.41.125.54","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"157",1092,"103.41.125.55","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"158",192,"103.41.125.56","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"159",528,"103.41.125.57","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"160",522,"103.41.125.58","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"161",543,"103.41.125.59","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"162",366,"103.41.125.61","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"163",9918,"103.41.125.62","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"164",546,"103.41.125.63","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"165",897,"103.41.125.64","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"166",888,"103.41.125.65","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"167",1380,"103.41.125.66","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"168",35,"104.148.70.17","US","United States","CA","California","Walnut","91789","America/Los_Angeles","34.012","-117.854","803"
"169",1,"104.236.32.15","US","United States","NY","New York","New York","10118","America/New_York","40.714","-74.006","501"
"170",30,"104.245.99.48","US","United States","PA","Pennsylvania","Clarks Summit","18411","America/New_York","41.489","-75.709","577"
"171",28,"107.160.14.210","US","United States","CA","California","Walnut","91789","America/Los_Angeles","34.012","-117.854","803"
"172",4,"108.71.240.73","US","United States","TX","Texas","Austin","78729","America/Chicago","30.455","-97.757","635"
"173",12,"109.169.74.58","GB","United Kingdom","","","","","Europe/London","51.5","-0.13","0"
"174",12,"109.228.20.106","GB","United Kingdom","ENG","England","Gloucester","","Europe/London","51.833","-2.25","0"
"175",6,"109.235.50.137","NL","Netherlands","","","","","Europe/Amsterdam","52.367","4.9","0"
"176",8,"111.73.46.22","CN","China","36","Jiangxi Sheng","Nanchang","","Asia/Shanghai","28.55","115.933","0"
"177",12,"112.137.137.12","VN","Vietnam","64","Thanh Pho Ha Noi","Hanoi","","Asia/Ho_Chi_Minh","21.033","105.85","0"
"178",522,"113.195.145.12","CN","China","36","Jiangxi Sheng","Nanchang","","Asia/Shanghai","28.55","115.933","0"
"179",2075,"113.195.145.70","CN","China","36","Jiangxi Sheng","Nanchang","","Asia/Shanghai","28.55","115.933","0"
"180",171,"113.195.145.79","CN","China","36","Jiangxi Sheng","Nanchang","","Asia/Shanghai","28.55","115.933","0"
"181",3243,"113.195.145.80","CN","China","36","Jiangxi Sheng","Nanchang","","Asia/Shanghai","28.55","115.933","0"
"182",103,"113.98.255.48","CN","China","44","Guangdong","Guangzhou","","Asia/Shanghai","23.117","113.25","0"
"183",3701,"115.230.124.202","CN","China","33","Zhejiang Sheng","Shaoxing","","Asia/Shanghai","30.011","120.572","0"
"184",1422,"115.230.124.208","CN","China","33","Zhejiang Sheng","Shaoxing","","Asia/Shanghai","30.011","120.572","0"
"185",3747,"115.230.124.229","CN","China","33","Zhejiang Sheng","Shaoxing","","Asia/Shanghai","30.011","120.572","0"
"186",3556,"115.230.126.140","CN","China","33","Zhejiang Sheng","Shaoxing","","Asia/Shanghai","30.011","120.572","0"
"187",1674,"115.230.126.148","CN","China","33","Zhejiang Sheng","Shaoxing","","Asia/Shanghai","30.011","120.572","0"
"188",2332,"115.230.126.149","CN","China","33","Zhejiang Sheng","Shaoxing","","Asia/Shanghai","30.011","120.572","0"
"189",7579,"115.230.126.151","CN","China","33","Zhejiang Sheng","Shaoxing","","Asia/Shanghai","30.011","120.572","0"
"190",1960,"115.230.127.55","CN","China","33","Zhejiang Sheng","Shaoxing","","Asia/Shanghai","30.011","120.572","0"
"191",2278,"115.230.127.60","CN","China","33","Zhejiang Sheng","Shaoxing","","Asia/Shanghai","30.011","120.572","0"
"192",2776,"115.230.127.61","CN","China","33","Zhejiang Sheng","Shaoxing","","Asia/Shanghai","30.011","120.572","0"
"193",8701,"115.231.218.130","CN","China","33","Zhejiang Sheng","Shaoxing","","Asia/Shanghai","30.011","120.572","0"
"194",7440,"115.231.218.131","CN","China","33","Zhejiang Sheng","Shaoxing","","Asia/Shanghai","30.011","120.572","0"
"195",8075,"115.231.222.45","CN","China","33","Zhejiang Sheng","Shaoxing","","Asia/Shanghai","30.011","120.572","0"
"196",4,"115.238.245.222","CN","China","33","Zhejiang Sheng","Lishui","","Asia/Shanghai","28.46","119.91","0"
"197",215,"115.238.55.163","CN","China","33","Zhejiang Sheng","Hangzhou","","Asia/Shanghai","30.294","120.161","0"
"198",4404,"115.239.228.11","CN","China","33","Zhejiang Sheng","Shaoxing","","Asia/Shanghai","30.011","120.572","0"
"199",4111,"115.239.228.12","CN","China","33","Zhejiang Sheng","Shaoxing","","Asia/Shanghai","30.011","120.572","0"
"200",4165,"115.239.228.13","CN","China","33","Zhejiang Sheng","Shaoxing","","Asia/Shanghai","30.011","120.572","0"
"201",4083,"115.239.228.14","CN","China","33","Zhejiang Sheng","Shaoxing","","Asia/Shanghai","30.011","120.572","0"
"202",3712,"115.239.228.15","CN","China","33","Zhejiang Sheng","Shaoxing","","Asia/Shanghai","30.011","120.572","0"
"203",2760,"115.239.228.16","CN","China","33","Zhejiang Sheng","Shaoxing","","Asia/Shanghai","30.011","120.572","0"
"204",4444,"115.239.228.34","CN","China","33","Zhejiang Sheng","Shaoxing","","Asia/Shanghai","30.011","120.572","0"
"205",3991,"115.239.228.35","CN","China","33","Zhejiang Sheng","Shaoxing","","Asia/Shanghai","30.011","120.572","0"
"206",3744,"115.239.228.4","CN","China","33","Zhejiang Sheng","Shaoxing","","Asia/Shanghai","30.011","120.572","0"
"207",3425,"115.239.228.6","CN","China","33","Zhejiang Sheng","Shaoxing","","Asia/Shanghai","30.011","120.572","0"
"208",4124,"115.239.228.7","CN","China","33","Zhejiang Sheng","Shaoxing","","Asia/Shanghai","30.011","120.572","0"
"209",3118,"115.239.228.9","CN","China","33","Zhejiang Sheng","Shaoxing","","Asia/Shanghai","30.011","120.572","0"
"210",2079,"115.239.230.133","CN","China","33","Zhejiang Sheng","Shaoxing","","Asia/Shanghai","30.011","120.572","0"
"211",2850,"115.239.230.136","CN","China","33","Zhejiang Sheng","Shaoxing","","Asia/Shanghai","30.011","120.572","0"
"212",2151,"115.239.230.138","CN","China","33","Zhejiang Sheng","Shaoxing","","Asia/Shanghai","30.011","120.572","0"
"213",6524,"115.239.248.238","CN","China","33","Zhejiang Sheng","Shaoxing","","Asia/Shanghai","30.011","120.572","0"
"214",2,"117.40.239.54","CN","China","36","Jiangxi Sheng","Nanchang","","Asia/Shanghai","28.55","115.933","0"
"215",193,"118.179.174.140","BD","Bangladesh","C","Dhaka Division","Dhaka","","Asia/Dhaka","23.723","90.409","0"
"216",16,"118.99.149.178","TW","Taiwan","","Taipei","Taipei","","Asia/Taipei","25.039","121.525","0"
"217",321,"119.147.137.94","CN","China","44","Guangdong","Guangzhou","","Asia/Shanghai","23.117","113.25","0"
"218",222,"119.97.202.161","CN","China","42","Hubei","Wuhan","","Asia/Shanghai","30.58","114.273","0"
"219",26,"120.237.96.82","CN","China","","","","","","35","105","0"
"220",12,"121.240.209.150","IN","India","","","","","Asia/Kolkata","20","77","0"
"221",10,"123.159.204.164","CN","China","33","Zhejiang Sheng","Hangzhou","","Asia/Shanghai","30.294","120.161","0"
"222",12,"123.30.190.56","VN","Vietnam","64","Thanh Pho Ha Noi","Hanoi","","Asia/Ho_Chi_Minh","21.033","105.85","0"
"223",600,"1.234.65.197","KR","Republic of Korea","","","","","Asia/Seoul","37.57","126.98","0"
"224",6,"124.234.13.254","CN","China","22","Jilin Sheng","Changchun","","Asia/Shanghai","43.88","125.323","0"
"225",12,"124.2.53.233","KR","Republic of Korea","","","","","Asia/Seoul","37.57","126.98","0"
"226",916,"125.65.245.146","CN","China","51","Sichuan Sheng","Chengdu","","Asia/Shanghai","30.667","104.067","0"
"227",10,"125.69.80.32","CN","China","51","Sichuan Sheng","Chengdu","","Asia/Shanghai","30.667","104.067","0"
"228",1410,"132.70.32.94","IL","Israel","","","","","Asia/Jerusalem","31.5","34.75","0"
"229",12,"140.206.87.166","CN","China","31","Shanghai Shi","Shanghai","","Asia/Shanghai","31.046","121.4","0"
"230",14,"14.139.190.129","IN","India","PY","Union Territory of Puducherry","Puducherry","","Asia/Kolkata","11.93","79.83","0"
"231",270,"144.0.0.200","CN","China","37","Shandong Sheng","Jinan","","Asia/Shanghai","36.668","116.997","0"
